               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.028621,            0.022455,            0.003694,             0.84835,             0.80208,             0.86924,             0.57364,            0.023949,           0.0074674,           0.0018002,           0.0048448,           0.0048448,           0.0048448
                  36,            0.028548,            0.023623,           0.0035963,              0.8421,             0.82955,             0.87195,             0.58032,            0.023556,           0.0074072,           0.0015463,           0.0048356,           0.0048356,           0.0048356
                  37,            0.029116,             0.02364,           0.0038232,             0.82265,               0.812,             0.85833,             0.56505,            0.024526,           0.0075327,           0.0016156,           0.0048262,           0.0048262,           0.0048262
                  38,            0.028566,             0.02401,           0.0036237,             0.79116,             0.82554,             0.85932,             0.57226,            0.023469,           0.0073027,           0.0020512,           0.0048165,           0.0048165,           0.0048165
                  39,            0.028574,            0.023663,           0.0035952,              0.8139,             0.79666,             0.85876,              0.5683,             0.02388,           0.0073926,           0.0016885,           0.0048066,           0.0048066,           0.0048066
                  40,            0.027826,            0.022871,           0.0035889,             0.82745,             0.79265,             0.85441,             0.56953,            0.023865,            0.007393,           0.0020626,           0.0047964,           0.0047964,           0.0047964
                  41,            0.028061,            0.022399,           0.0035329,             0.84696,             0.78993,             0.85495,             0.57688,            0.024903,           0.0073779,           0.0016962,            0.004786,            0.004786,            0.004786
                  42,            0.027868,            0.021991,           0.0034157,             0.82534,             0.77572,             0.84375,             0.57135,            0.023953,           0.0072529,           0.0018652,           0.0047754,           0.0047754,           0.0047754
                  43,             0.02809,             0.02243,           0.0034603,              0.8199,             0.80966,             0.86571,              0.5812,            0.023045,           0.0074231,           0.0018258,           0.0047644,           0.0047644,           0.0047644
                  44,            0.027996,            0.022522,           0.0034824,             0.82255,             0.83083,             0.87888,             0.57223,            0.022842,           0.0072697,           0.0014695,           0.0047533,           0.0047533,           0.0047533
                  45,            0.027825,            0.021491,           0.0032297,             0.88083,             0.76738,             0.85948,             0.57781,            0.024181,           0.0073629,           0.0014635,           0.0047419,           0.0047419,           0.0047419
                  46,            0.028009,            0.023543,           0.0033261,               0.815,              0.8195,             0.87181,             0.58084,            0.023308,           0.0072466,           0.0015183,           0.0047302,           0.0047302,           0.0047302
                  47,            0.028059,            0.023115,           0.0033975,             0.86243,              0.7827,             0.86607,             0.57885,            0.023165,           0.0073592,           0.0013362,           0.0047184,           0.0047184,           0.0047184
                  48,            0.027927,            0.022449,           0.0034334,             0.89379,             0.77046,             0.88098,             0.58915,            0.022934,           0.0073817,           0.0018571,           0.0047062,           0.0047062,           0.0047062
                  49,            0.027774,            0.022857,           0.0033073,             0.88387,             0.78097,             0.87604,              0.5893,            0.022877,           0.0073143,           0.0015666,           0.0046939,           0.0046939,           0.0046939
                  50,            0.027543,            0.022872,            0.003471,             0.91898,             0.76506,             0.87546,             0.59664,            0.022877,            0.007188,           0.0017768,           0.0046813,           0.0046813,           0.0046813
                  51,            0.027651,             0.02244,            0.003376,             0.86513,             0.82101,             0.88178,             0.59339,            0.022944,           0.0073707,           0.0015011,           0.0046684,           0.0046684,           0.0046684
                  52,            0.027595,            0.022443,           0.0033101,             0.85841,             0.80958,             0.87801,             0.57961,            0.023463,           0.0075725,           0.0016494,           0.0046553,           0.0046553,           0.0046553
                  53,            0.027773,            0.022628,           0.0032457,             0.88268,             0.81227,             0.88172,             0.57744,            0.023886,           0.0073708,           0.0017328,            0.004642,            0.004642,            0.004642
