               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029293,            0.028415,             0.01531,             0.82424,             0.78375,             0.83925,             0.50716,            0.030244,            0.011623,           0.0090483,           0.0097011,           0.0097011,           0.0097011
                  37,            0.029609,             0.02819,            0.015625,             0.85513,             0.66843,             0.79668,              0.4836,            0.029529,            0.011881,           0.0095919,            0.009684,            0.009684,            0.009684
                  38,            0.029503,            0.028489,            0.015088,             0.83014,             0.71887,             0.82374,             0.49322,            0.030883,             0.01181,           0.0097327,           0.0096664,           0.0096664,           0.0096664
                  39,             0.02935,            0.028945,            0.014932,             0.81612,              0.7709,             0.83404,             0.50178,              0.0294,            0.011591,           0.0088709,           0.0096484,           0.0096484,           0.0096484
                  40,            0.029388,            0.027346,            0.015136,             0.81298,             0.73238,             0.81049,              0.4951,            0.028606,            0.011808,            0.010564,           0.0096299,           0.0096299,           0.0096299
                  41,            0.029109,            0.027734,            0.015056,             0.80374,             0.77145,             0.84058,             0.50658,            0.029626,            0.011598,           0.0089694,            0.009611,            0.009611,            0.009611
                  42,            0.029425,             0.02726,            0.014629,             0.80803,             0.74448,             0.81849,             0.50157,            0.029176,            0.011429,            0.011133,           0.0095916,           0.0095916,           0.0095916
                  43,            0.028981,            0.027115,            0.014861,             0.86631,             0.74609,             0.83299,             0.51167,             0.02929,            0.011598,           0.0092814,           0.0095717,           0.0095717,           0.0095717
                  44,            0.029056,            0.027482,            0.014059,             0.78855,              0.7843,             0.83559,             0.50987,            0.028801,            0.011442,           0.0093504,           0.0095514,           0.0095514,           0.0095514
                  45,            0.028555,            0.026736,            0.013653,             0.80197,             0.73714,             0.81759,             0.49937,            0.028647,            0.011381,             0.01157,           0.0095307,           0.0095307,           0.0095307
                  46,            0.028664,             0.02786,              0.0138,             0.79042,             0.74154,             0.81699,              0.5014,            0.029124,            0.011443,            0.010726,           0.0095095,           0.0095095,           0.0095095
                  47,            0.028612,            0.027846,            0.013057,             0.81691,             0.78019,              0.8482,               0.529,            0.028081,            0.011205,           0.0091432,           0.0094879,           0.0094879,           0.0094879
                  48,            0.028384,            0.027087,            0.013798,             0.85049,             0.77334,             0.85592,             0.52579,             0.02868,             0.01111,           0.0095715,           0.0094659,           0.0094659,           0.0094659
                  49,            0.028257,            0.027667,            0.012778,             0.81047,             0.77611,             0.84841,              0.5325,            0.027871,            0.011354,           0.0086878,           0.0094434,           0.0094434,           0.0094434
                  50,            0.028182,            0.028444,            0.013666,             0.88429,             0.70005,              0.8405,             0.51095,            0.028301,            0.011304,            0.010057,           0.0094205,           0.0094205,           0.0094205
                  51,            0.028167,            0.027089,            0.012478,              0.7705,             0.78583,             0.83575,             0.51343,            0.028554,            0.011576,           0.0098959,           0.0093971,           0.0093971,           0.0093971
                  52,            0.028367,            0.025408,            0.013574,             0.82271,             0.76683,              0.8471,             0.51955,              0.0276,            0.011386,           0.0094868,           0.0093733,           0.0093733,           0.0093733
                  53,            0.027917,            0.027864,            0.013064,             0.81709,             0.80758,             0.86039,              0.5356,            0.028704,            0.011356,           0.0083024,           0.0093491,           0.0093491,           0.0093491
                  54,            0.027995,            0.027486,            0.013134,              0.8224,             0.75699,             0.83816,             0.52878,            0.027647,            0.011116,           0.0091314,           0.0093245,           0.0093245,           0.0093245
                  55,             0.02794,            0.025838,            0.011965,              0.7647,             0.76448,             0.82718,             0.52793,            0.028025,            0.011151,           0.0094652,           0.0092995,           0.0092995,           0.0092995
                  56,            0.027976,            0.027497,            0.012453,              0.7678,             0.83376,             0.84269,             0.53405,            0.027905,            0.011629,           0.0082403,            0.009274,            0.009274,            0.009274
