               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038479,             0.02382,            0.015386,             0.81585,             0.75838,             0.84211,             0.52902,            0.030002,           0.0075798,           0.0078241,           0.0093733,           0.0093733,           0.0093733
                  36,            0.038415,            0.024965,            0.015388,             0.78363,             0.76937,             0.82373,             0.51029,            0.029984,           0.0077661,           0.0072391,           0.0093369,           0.0093369,           0.0093369
                  37,            0.038935,            0.025169,            0.015875,             0.78016,             0.68336,             0.76851,             0.47489,            0.034084,           0.0076972,           0.0092952,           0.0092995,           0.0092995,           0.0092995
                  38,            0.037944,            0.025293,             0.01558,             0.83175,             0.76722,             0.85348,              0.5277,            0.030343,             0.00746,           0.0052182,           0.0092611,           0.0092611,           0.0092611
                  39,            0.038276,            0.025049,            0.014604,             0.75666,             0.75233,             0.80946,             0.48905,            0.031846,           0.0075516,           0.0082369,           0.0092219,           0.0092219,           0.0092219
                  40,            0.037045,            0.024146,            0.014789,             0.80332,             0.77514,             0.83748,             0.52775,            0.030887,           0.0076147,           0.0072735,           0.0091817,           0.0091817,           0.0091817
                  41,            0.036924,             0.02377,            0.014642,              0.7971,             0.80025,             0.84188,             0.52732,            0.032589,           0.0073196,           0.0066824,           0.0091406,           0.0091406,           0.0091406
                  42,             0.03666,              0.0234,            0.014505,             0.84353,             0.71324,             0.84508,             0.52805,            0.030749,            0.007564,           0.0059342,           0.0090986,           0.0090986,           0.0090986
                  43,            0.037196,            0.023527,            0.013724,             0.83595,             0.74899,             0.85404,             0.53742,            0.029836,           0.0076134,           0.0051174,           0.0090557,           0.0090557,           0.0090557
                  44,            0.037089,            0.023786,            0.014503,             0.84114,             0.76084,             0.85369,             0.53711,            0.030446,           0.0075919,           0.0044359,           0.0090119,           0.0090119,           0.0090119
                  45,            0.037158,            0.023064,            0.012767,             0.79742,             0.75466,             0.83161,             0.53052,            0.030756,           0.0074241,           0.0068946,           0.0089673,           0.0089673,           0.0089673
                  46,            0.037116,            0.025179,            0.013828,             0.83866,             0.80623,             0.88041,                0.55,            0.029973,           0.0074555,           0.0041363,           0.0089218,           0.0089218,           0.0089218
                  47,            0.036979,             0.02438,            0.013454,              0.8804,             0.75285,             0.86168,             0.54336,            0.030979,           0.0074525,           0.0048687,           0.0088755,           0.0088755,           0.0088755
                  48,            0.036818,            0.023802,            0.014186,             0.85702,             0.73089,             0.84636,             0.53897,            0.029802,           0.0075919,           0.0051945,           0.0088283,           0.0088283,           0.0088283
                  49,            0.036048,            0.024411,            0.013409,             0.82314,             0.75466,              0.8379,             0.52793,             0.03062,           0.0076123,           0.0067307,           0.0087804,           0.0087804,           0.0087804
                  50,            0.035967,            0.024264,            0.013883,             0.90018,             0.68251,             0.83172,             0.52916,             0.03044,           0.0075416,           0.0057052,           0.0087316,           0.0087316,           0.0087316
                  51,            0.035942,            0.023754,            0.013557,             0.84166,             0.76331,             0.85101,             0.54653,            0.031151,           0.0076533,            0.004269,            0.008682,            0.008682,            0.008682
                  52,            0.035849,            0.023598,            0.013021,             0.81921,             0.75597,             0.84746,             0.53617,            0.030787,           0.0075837,           0.0050501,           0.0086316,           0.0086316,           0.0086316
                  53,            0.035659,            0.023823,            0.013045,             0.83255,             0.72377,             0.82237,              0.5131,            0.031024,           0.0077008,           0.0049981,           0.0085805,           0.0085805,           0.0085805
                  54,             0.03626,            0.023923,            0.012656,             0.83519,             0.76874,             0.86052,             0.54338,             0.03096,           0.0073248,           0.0049177,           0.0085286,           0.0085286,           0.0085286
                  55,            0.033526,            0.022212,            0.011171,             0.80833,             0.78354,             0.86394,             0.56611,            0.028644,           0.0072707,           0.0043207,           0.0012202,           0.0012202,           0.0012202
                  56,            0.033112,            0.023587,            0.010602,             0.79747,              0.8095,             0.86573,             0.57627,            0.027982,           0.0072378,           0.0042301,           0.0011533,           0.0011533,           0.0011533
                  57,             0.03155,            0.022147,           0.0097791,             0.84208,             0.76246,             0.86334,             0.57306,            0.027895,           0.0072597,            0.004696,           0.0010983,           0.0010983,           0.0010983
                  58,            0.032243,            0.022717,             0.00961,             0.79017,             0.81542,              0.8651,             0.56993,            0.027577,           0.0071684,           0.0045476,           0.0010554,           0.0010554,           0.0010554
                  59,            0.031503,            0.021541,           0.0092296,             0.87212,             0.77362,             0.87905,             0.58206,            0.027392,           0.0071109,           0.0042262,           0.0010247,           0.0010247,           0.0010247
