               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026465,            0.025471,           0.0068997,             0.60185,             0.66169,             0.65831,             0.41629,            0.027057,            0.011067,           0.0055919,           0.0048448,           0.0048448,           0.0048448
                  36,            0.026092,            0.026621,           0.0067931,             0.62687,             0.69309,             0.68944,             0.45229,            0.025749,            0.011009,            0.005585,           0.0048356,           0.0048356,           0.0048356
                  37,            0.026561,            0.026317,           0.0067182,             0.63736,             0.65859,             0.68555,             0.45003,            0.025811,            0.011261,           0.0054321,           0.0048262,           0.0048262,           0.0048262
                  38,            0.026067,            0.026599,           0.0067244,             0.69744,             0.58549,             0.67374,             0.44203,            0.026446,            0.011384,           0.0054313,           0.0048165,           0.0048165,           0.0048165
                  39,             0.02631,            0.027071,           0.0065384,             0.63326,             0.68297,              0.7157,             0.47102,            0.025566,            0.010788,           0.0050302,           0.0048066,           0.0048066,           0.0048066
                  40,              0.0263,            0.025711,            0.006562,             0.70199,             0.64159,             0.72602,             0.47053,            0.026352,            0.010981,           0.0049487,           0.0047964,           0.0047964,           0.0047964
                  41,            0.026066,            0.025953,           0.0065385,             0.67027,             0.68065,             0.72188,             0.46988,             0.02559,            0.010646,           0.0051292,            0.004786,            0.004786,            0.004786
                  42,            0.025901,            0.025459,           0.0064887,             0.72948,             0.64366,             0.75027,               0.489,            0.025964,            0.010931,           0.0049639,           0.0047754,           0.0047754,           0.0047754
                  43,            0.025844,            0.025222,           0.0062738,             0.73018,             0.66465,             0.76225,             0.49762,            0.026484,            0.010868,           0.0049354,           0.0047644,           0.0047644,           0.0047644
                  44,            0.025771,             0.02545,           0.0061811,             0.75806,             0.70251,             0.76767,             0.50223,            0.026705,            0.010778,           0.0048373,           0.0047533,           0.0047533,           0.0047533
                  45,            0.025754,            0.025071,           0.0061483,               0.703,              0.6921,             0.74686,             0.48951,            0.026189,            0.010561,            0.005016,           0.0047419,           0.0047419,           0.0047419
                  46,            0.025737,            0.026124,           0.0061407,             0.81413,             0.63467,             0.75611,             0.48892,             0.02588,            0.010888,            0.004699,           0.0047302,           0.0047302,           0.0047302
                  47,            0.025445,            0.025914,           0.0058662,             0.76298,             0.68082,             0.77185,             0.49513,            0.026711,            0.010892,           0.0047745,           0.0047184,           0.0047184,           0.0047184
                  48,             0.02561,            0.025346,           0.0058971,              0.7406,              0.7006,              0.7588,             0.49662,            0.026267,            0.010707,           0.0041851,           0.0047062,           0.0047062,           0.0047062
                  49,            0.024799,            0.025786,           0.0056016,              0.7622,             0.70629,             0.78292,             0.50513,            0.026423,            0.010699,           0.0043801,           0.0046939,           0.0046939,           0.0046939
