               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034998,            0.025754,            0.016711,             0.84945,             0.70424,             0.81341,             0.49298,            0.028028,           0.0080368,           0.0081039,           0.0097178,           0.0097178,           0.0097178
                  36,            0.035078,            0.026416,            0.016144,             0.78945,             0.78159,             0.84098,             0.50216,             0.02847,           0.0081095,           0.0072374,           0.0097011,           0.0097011,           0.0097011
                  37,            0.035205,            0.027047,            0.017107,             0.80972,             0.68728,             0.80433,             0.47572,            0.029123,           0.0086165,           0.0076339,            0.009684,            0.009684,            0.009684
                  38,            0.034828,            0.027049,            0.016408,             0.87774,             0.72668,             0.84202,             0.49575,            0.027917,           0.0082024,           0.0075508,           0.0096664,           0.0096664,           0.0096664
                  39,            0.035287,            0.026925,            0.015843,             0.74876,             0.76546,             0.81478,             0.50328,            0.027739,           0.0083185,           0.0097641,           0.0096484,           0.0096484,           0.0096484
                  40,            0.034406,            0.025789,            0.016123,             0.73603,             0.75108,             0.78925,             0.47924,            0.027685,           0.0082654,            0.010343,           0.0096299,           0.0096299,           0.0096299
                  41,            0.034136,            0.025755,            0.017192,             0.71704,              0.7054,             0.77278,             0.46784,             0.02802,           0.0081842,            0.010677,            0.009611,            0.009611,            0.009611
                  42,            0.033965,            0.025299,            0.016943,             0.77403,             0.75484,             0.82256,             0.50501,            0.028165,             0.00817,           0.0090257,           0.0095916,           0.0095916,           0.0095916
                  43,            0.034069,            0.025803,            0.016341,             0.75877,             0.75993,             0.83751,             0.49829,            0.027296,           0.0084085,           0.0075914,           0.0095717,           0.0095717,           0.0095717
                  44,            0.034524,            0.025719,            0.015234,             0.78505,             0.77689,             0.83727,             0.48798,            0.027019,           0.0080238,           0.0071534,           0.0095514,           0.0095514,           0.0095514
                  45,            0.033649,            0.024918,            0.014108,             0.85692,             0.67636,             0.82199,             0.50317,            0.027041,           0.0079507,           0.0074144,           0.0095307,           0.0095307,           0.0095307
                  46,            0.033919,            0.026696,            0.014753,             0.86506,             0.69197,             0.81723,             0.50838,            0.027469,            0.008148,           0.0084849,           0.0095095,           0.0095095,           0.0095095
                  47,            0.033991,            0.026111,            0.014183,             0.81095,             0.74459,             0.83293,             0.51095,            0.027271,           0.0079132,           0.0091461,           0.0094879,           0.0094879,           0.0094879
                  48,             0.03357,            0.025501,            0.014706,              0.8379,             0.68798,             0.81054,             0.50986,            0.026617,           0.0082617,           0.0072952,           0.0094659,           0.0094659,           0.0094659
                  49,            0.033029,             0.02599,             0.01362,             0.82562,             0.76433,             0.84801,             0.52315,            0.026657,           0.0078718,           0.0058379,           0.0094434,           0.0094434,           0.0094434
                  50,            0.033272,             0.02579,            0.014254,             0.76759,             0.76013,             0.81808,             0.50064,            0.027415,           0.0081911,            0.008018,           0.0094205,           0.0094205,           0.0094205
                  51,            0.033549,            0.025591,            0.014443,              0.8906,              0.6445,             0.81208,              0.4979,            0.027018,           0.0087711,           0.0069319,           0.0093971,           0.0093971,           0.0093971
                  52,            0.033283,            0.025537,            0.014604,             0.82251,             0.74197,             0.83948,             0.51904,            0.026255,           0.0079721,           0.0063438,           0.0093733,           0.0093733,           0.0093733
                  53,            0.033481,            0.025965,            0.013678,             0.81011,             0.75214,             0.82888,             0.50489,            0.027685,             0.00793,            0.006118,           0.0093491,           0.0093491,           0.0093491
                  54,              0.0334,            0.024484,            0.014261,             0.77698,             0.73465,             0.81429,             0.49635,            0.026543,           0.0080281,           0.0072963,           0.0093245,           0.0093245,           0.0093245
                  55,            0.033488,            0.025724,            0.014325,             0.82559,             0.71661,             0.82712,             0.50119,            0.027653,           0.0081508,           0.0082729,           0.0092995,           0.0092995,           0.0092995
                  56,            0.033213,            0.025093,            0.013938,             0.82396,             0.73608,             0.85289,             0.52088,             0.02697,             0.00777,           0.0056688,            0.009274,            0.009274,            0.009274
                  57,            0.033327,             0.02532,             0.01357,             0.78773,             0.77769,             0.84422,             0.55091,            0.026115,           0.0078035,            0.006431,           0.0092481,           0.0092481,           0.0092481
                  58,            0.032579,            0.024439,            0.014164,              0.7965,             0.76325,             0.85948,              0.5353,            0.026577,            0.007773,           0.0060341,           0.0092219,           0.0092219,           0.0092219
                  59,            0.032491,              0.0236,            0.012577,             0.80106,             0.73896,             0.84805,             0.52354,            0.026502,            0.007846,           0.0061366,           0.0091952,           0.0091952,           0.0091952
                  60,            0.032573,            0.025372,            0.013434,             0.78385,             0.76534,             0.83142,             0.53088,            0.026025,           0.0078008,           0.0069937,           0.0091681,           0.0091681,           0.0091681
                  61,            0.032862,            0.026449,            0.012618,             0.81212,             0.80207,             0.84518,             0.50759,            0.027963,           0.0079431,           0.0069195,           0.0091406,           0.0091406,           0.0091406
                  62,            0.032146,            0.024668,            0.012716,             0.87944,              0.6733,             0.81703,             0.50127,            0.026997,           0.0082145,            0.006642,           0.0091127,           0.0091127,           0.0091127
                  63,            0.032781,            0.023886,            0.011992,             0.82802,             0.75525,             0.85343,             0.53858,            0.026865,           0.0078832,           0.0064166,           0.0090844,           0.0090844,           0.0090844
                  64,            0.032081,            0.022823,            0.012729,             0.82616,             0.78976,              0.8595,             0.52877,            0.026172,           0.0077793,            0.006725,           0.0090557,           0.0090557,           0.0090557
                  65,            0.032301,            0.025225,            0.012179,             0.84218,             0.73202,             0.83356,             0.51572,             0.02669,           0.0079412,           0.0081576,           0.0090266,           0.0090266,           0.0090266
                  66,            0.031222,            0.023444,            0.011572,             0.81418,             0.76718,             0.84435,             0.53537,            0.026326,            0.007857,           0.0058712,           0.0064356,           0.0064356,           0.0064356
                  67,            0.031504,            0.025036,            0.011325,             0.89849,             0.73462,             0.85906,             0.54004,            0.025997,           0.0077445,           0.0051423,           0.0063432,           0.0063432,           0.0063432
                  68,            0.030506,            0.023851,            0.011177,              0.9186,             0.71973,             0.86678,             0.52992,            0.026727,           0.0079009,           0.0048888,           0.0062505,           0.0062505,           0.0062505
                  69,            0.030698,            0.024151,            0.011238,              0.8629,             0.77431,             0.87825,             0.55001,            0.025921,           0.0077614,           0.0035731,           0.0061574,           0.0061574,           0.0061574
                  70,            0.030575,            0.023253,            0.010343,             0.82182,             0.74909,             0.85294,             0.53351,            0.026171,           0.0077716,           0.0045574,            0.006064,            0.006064,            0.006064
                  71,            0.030553,            0.023686,            0.010241,             0.83097,             0.75039,             0.85883,             0.53319,            0.025628,           0.0078615,           0.0044173,           0.0059704,           0.0059704,           0.0059704
                  72,             0.03047,            0.024367,           0.0098658,             0.80693,             0.79954,             0.87369,             0.55563,            0.025577,           0.0075781,           0.0041006,           0.0058766,           0.0058766,           0.0058766
                  73,            0.029697,             0.02342,            0.010307,             0.91595,             0.71344,             0.85934,             0.54565,             0.02557,           0.0076671,           0.0044249,           0.0057826,           0.0057826,           0.0057826
                  74,            0.029965,            0.022725,           0.0098774,             0.84347,             0.75841,             0.86621,             0.54551,            0.025679,           0.0078037,           0.0038006,           0.0056884,           0.0056884,           0.0056884
                  75,            0.030339,            0.023576,           0.0099391,             0.87376,             0.75105,             0.87279,             0.55646,            0.025768,           0.0075179,            0.004192,           0.0055942,           0.0055942,           0.0055942
                  76,            0.029792,            0.023482,           0.0092512,             0.87315,              0.7314,             0.85733,             0.54762,            0.024843,           0.0077229,           0.0048446,              0.0055,              0.0055,              0.0055
                  77,            0.029848,            0.024031,            0.010027,             0.84754,             0.81715,             0.88183,             0.57457,            0.024754,            0.007564,           0.0036911,           0.0054058,           0.0054058,           0.0054058
                  78,            0.029977,            0.023572,            0.010042,             0.84163,             0.76422,             0.86481,             0.55141,            0.024937,           0.0075531,           0.0053108,           0.0053116,           0.0053116,           0.0053116
                  79,            0.029719,            0.022906,            0.010124,             0.85418,             0.79833,             0.89153,             0.56302,            0.024774,           0.0074134,           0.0045074,           0.0052174,           0.0052174,           0.0052174
                  80,            0.029176,            0.023278,           0.0092321,             0.83439,             0.80109,             0.88341,               0.552,             0.02525,           0.0077362,            0.005008,           0.0051234,           0.0051234,           0.0051234
